"id";"property_type";"host_name";"accommodates";"bedrooms";"description"
3781;Entire rental unit;Frank;2;1;Fully separate apartment in a two apartment building. Space is perfect for an individual or a couple. There is a full bath, bedroom with queen bed, small sitting area with TV and a fully equipped kitchen with dining area. Walk or bus to subway.<br /><br /><b>The space</b><br />This is a totally separate apartment located on the first floor of a 3 story building. Apartment has one bedroom with queen sized bed plus full eat-in kitchen,sitting room and full bath with tub/shower. Free off street parking for one car. SORRY NO SNOW REMOVAL SERVICE FOR CAR.  Free wi-fi <br /><br />10 minute walk/5 minute bus (3 doors away) to subway station--next stop is Aquarium/Faneuil Hall in central Boston. <br /><br />Guests who have stayed in our apartment have used it as a home base to explore Boston and surroundings. Others during extended stays at the apartment have commuted to  Massachusetts General Hospital (MGH) and Massachusetts Institute of Technology (MIT).  <br /><br />The harbor and harbor wa
5506;Entire guest suite;Terry;2;1;Private guest room with private bath, You do not need to cut through anyone else's space to get to guest room. No shared space.  Private entrance off main hall/stairs of the building.   Has a mini fridge, micro and coffee maker.<br /><br /><b>The space</b><br />**THE BEST Value in BOSTON!!*** PRIVATE GUEST ROOM WITH PRIVATE BATH.<br /><br /><br />**Super Value on a Really Nice, Comfortable,  Freshly redone and Tastefully decorated guest room, Clean, w/ full private bath available for your long or short term stay! Why stay in an overpriced hotel???!! <br /><br /><br />**Excellent Boston location, a 5 minute walk to the Orange Line Train, 4 Minute ride to Copley Plaza, the Center of all Boston attractions! Back Bay/South End, Downtown. <br /><br /><br />**Located in a quiet Boston residential neighborhood, In a Historic Boston Victorian Rowhouse.   We offer the comfort of a Inn-like setting combined with easy access to all of City! <br /><br /><br />>>> Details:<br /><br /><br />**Locate
6695;Entire condo;Terry;4;NULL;Comfortable,  Fully Equipped private apartment on 2 levels.  Sleeps up to 4.  Sleeper sofa in living room Steps inside unit to bedroom.<br /><br /><b>The space</b><br />** WELCOME *** FULL PRIVATE APARTMENT In a Historic Victorian Brick Row House, Circa 1860. <br /><br />Your apartment is Located in the quiet Boston residential neighborhood of Fort Hill in a updated Victorian Brick Townhouse.  We offer the comfort of a Inn-like setting combined with easy access to all of City! **<br /><br />**Private Condo/Apartment<br /><br />**Fully equipped Kitchen, Stainless, Granite, Eat in.   <br /><br />**Full Bath with tub/shower <br /><br />**Tasteful furnishings, Queen size bed, plus comfortable Queen Sleeper Sofa. <br /><br />**Fully appointed with all Fresh Linens <br /><br />**WiFi/Cable TV/Sound System <br /><br />**Plenty of free on street Parking on most streets, No permit required <br /><br />**Easy access to all of Boston, Downtown Crossing, Hynes Convention Center, Walk to Museums, S
8789;Entire rental unit;Anne;2;1;This unit is for sale. There will need to be occasional showings. This unit is available for a few months at the most. Bright, 1 bed with curved glass windows facing the State House! High ceilings, updated kitchen, elevator building, doorman, laundry on each floor and common roofdeck with amazing view.  Close to everything!<br /><br /><b>The space</b><br />Fully Furnished studio with enclosed bedroom.  Curved glass windows face the State House and the Boston Common. Updated kitchen with convection microwave, electric cooktop and full size fridge.  There are high ceilings, parquet wood floors, ornamental fireplace and mantle and great closet space. Features a common roofdeck, two elevators, concierge, common laundry and garbage room on each floor.  Very closed to tourist attractions, shopping, restaurants, banking and Wholefoods.  The Red Park Street T stop, Boylston Green T stop and Government Center Green T stop are all an easy walk.<br /><br />Rent includes utilities, high speed inte
10813;Entire rental unit;Michelle;2;NULL;"Stunning Back Bay furnished studio apartment. Classic brick brownstone on a quiet street. Elegant large studio apartment with bow window overlooking tree lined Marlborough St. Front facing studio apt. Queen murphy bed,  includes all utilities, A/C <br />Wi-Fi, TV, bedding , towels, utensils, table and chairs works space. <br />Short walk to Newbury St, Fenway Park, ""T"" Station & hundreds of restaurants, cafes and shops.  This apt does not come with a parking spot.   Fireplace is not operational.<br /><br /><b>The space</b><br />Back Bay Studio Apt - <br />Private bath, A/C, Cable TV, Private phone, High Speed Internet, Non-smoking, No breakfast, Queen Murphy bed, Sleeps 2 and possibly one child. Small pets allowed.<br /><br />Boston Studio Apartment- Stay right in the BACK BAY in a ""Marlborough Street"" APARTMENT!!! A lovely studio apartment w/Queen Mahogany Murphy Bed in a Victorian brownstone along tree-lined Marlborough St. Well maintained and updated with bow front windows, full gal"
10986;Entire condo;Michelle;2;NULL;"Chic furnished studio apartment is located on Waterfront & North End.  Close (10 min walk) to Mass General Hospital, Mass Eye & Ear, TD Boston Garden and Mass Transit station. One block to Hanover Street restaurants, shops & cafes.  Easy walk (5 min) to Fanieul Hall Marketplace, City Hall and Haymarket farmers market.  Take the ""T"" to Back Bay neighborhood, including Northeastern University, Berklee Univ or into Cambridge Ma.<br /><br /><b>The space</b><br />Waterfront Studio apt on Commercial St.   Totally renovated with granite, stainless steel appliances, Queen Murphy Bed, includes utilities, A/C, WI-FI, Cable TV, linens, towels, cooking pots/pans/utensils, breakfast bar workspace.<br /><br />30 Day Min. Rental<br /><br /><b>Guest access</b><br />Access to the entire Apartment"
18711;Entire rental unit;Lance;7;3;NEW for May 2022!  Full-size Washer AND Dryer inside the unit!  Incredible convenience and comfort. <br /> <br />Our comfortable three-bedroom apartment with tons of light has a true neighborhood feel! It comfortably fits four and is centrally located just a few blocks from Upham's Corner. Enjoy a short walk to the Redline of the Subway and zip into downtown! <br /> <br />** This rental requires a minimum booking of 30 nights. Regardless of nights physically occupied, no bookings for less than 30 nights will be accepted. Please contact us for other options in the Greater Boston Area. **<br /><br /><b>The space</b><br />NEW for 2022!  Full-size Washer AND Dryer inside the unit!  Incredible convenience and comfort. <br /> <br />The Dorset is a fully furnished 1200sf luxury apartment centrally located in Boston near the historic South End. Part of a meticulous building restoration, the Dorset combines characteristic turn-of-the-century Boston area architecture with modern day amenities an
29765;Entire rental unit;Elizabeth;2;1;The apartment is a unique space that offers a feeling of being in Morocco in the midst of Boston. Many of the furnishings were custom designed and handmade in the city of Fez in Morocco and are beautiful works of art. The lighting is also custom and creates much ambiance. <br /><br />Please note that stairs are required and we do not offer elevator or luggage service.<br /><br /><b>The space</b><br />Elegant, beautiful, and spacious!<br /><br />Enjoy the hospitality and warmth of a home with luxury amenities for your relaxation and wellness:<br /><br />3-room luxury suite with authentic Moroccan furnishings, in the beautifully-renovated & historic Thomas Osgood House in Boston close to the Freedom Trail, downtown, Boston Garden.<br /><br />King feather bed with Moroccan canopy tent. Elegant living room with skylights and authentic Moroccan decor. Marble bathroom with rain shower head. Full kitchen w. oven, microwave, dishwasher & fridge. A/C, TVs, wireless, fine linens provided.<br /><
40601;Private room in home;Robert;2;NULL;Private bedroom and bathroom in my house in Jamaica Plain, a neighborhood of Boston.  Convenient to public transportation, downtown Boston and the medical centers.  Room has a queen bed. House can accomodate others on a queen air mattress in study.<br /><br /><b>The space</b><br />Private room with a private bath in Jamaica Plain, a diverse neighborhood of Boston.  Room overlooks a quiet garden with lots of natural light.  The room has a queen bed so it it suitable for a single or a couple.  House has central air conditioning, high-speed wireless network, modern kitchen and laundry facilities that guests are welcome to use.  The house is on four levels so there are three staircases each with a landing mid way-the bedroom is one flight up from ground level.<br /><br />There are several grocery stores nearby (walk to Whole Foods) as well as many restaurants, coffee shops, sandwich shops, bakeries and bars.  Jamaica Pond with walking and jogging trails is less than 1/2 mile away.<br /><br
45987;Entire rental unit;Atef;3;1;Light and spacious garden studio apartment has all the comforts of home only footsteps from several of Boston's most historic sites. The studio features a private entrance, gleaming hardwood floors throughout, a fully equipped kitchen.<br /><br /><b>The space</b><br />Light and spacious garden studio apartment has all the comforts of home only footsteps from several of Boston's most historic sites. The studio features a private entrance, gleaming hardwood floors throughout, a fully equipped kitchen with a coffee maker and other amenities, an expansive counter--perfect for dining or use as a work area, a living area with a convertible sofa, and a bright and sparkling bathroom with a large stall shower and pedestal sink. Sleep soundly on the comfortable queen size bed.  <br />   <br />BEFORE YOU MAKE A RESERVATION, PLEASE MAKE SURE YOU KNOW YOUR TIME OF ARRIVAL.  RESERVATION WILL NOT BE FINAL UNTIL I KNOW YOUR ARRIVAL TIME.  THANK YOU. <br /><br />Please, be honest about the number of pe
47521;Private room in home;Hermina;2;NULL;Location: Beautiful house, convenient and safe location. The room is smaller, good for one person.  <br />Shops and eating places around the corner.  T-red line 4 min walk which takes you to South Station, Airport, downtown, Harvard sq, MIT, MGH, Porter sq, Davis sq. Easy access to the Ocean, Castle Island, Cape Cod, I-93<br />Free ride from the airport, yes, FREE, Get my directions and follow it please. <br />The room is on the second floor, cozy,<br /><br /><b>The space</b><br />Victorian house on three floors. The house if equipped with all you need to feel at home. Many amenities around the corner: Park, shopping plaza, grocery the last one, restaurants, CVS, hospital,<br />On street parking is unlimited & free<br />Please just check /street cleaning days & hydrantes<br />Big tickets.<br /><br /><b>Guest access</b><br />Dinning room, kitchen, balcony, patio.<br /><br /><b>During your stay</b><br />Please contact via email, text, phone, in person, viber/messenger<br />If emergency t
60029;Private room in rental unit;Michelle;2;NULL;Small, sunny, private room in quiet but urban neighborhood, 3 miles from the city center, 1.5 miles from Longwood hospitals and Fenway colleges. Please do not book without first reading through the entire post and sending me a query!<br /><br /><b>The space</b><br />Small, private room in a bright funky apartment in a 110 year old house in the  geographical heart of Boston, three miles from the city center.  <br /><br />Room is small and cozy with a full size bed - 54 x 75 inches (137 x 190 cm).  Closet is very small. Room has southern exposure so there is lots of sun all day. Bathroom is shared as is the kitchen and living room.<br /><br />Though currently listed for just one person, two people have been quite comfortable staying in this room.  If there are two of you, write me.<br /><br />Je peux parler un peu de francais.<br /><br /><b>Guest access</b><br />We'll share the bathroom.  While you are welcome to use the kitchen to make a cup of tea or to eat, it is not available for coo
67774;Entire condo;Anne;3;1;Live beside the State House and the Boston Common in picturesque Beacon Hill!  Sunny corner 1 bed facing the State House golden dome! Great location, close to everything, concierge building, elevators, common roofdeck, queen size bed, flat screen TV.<br /><br /><b>The space</b><br />Bright, one bed facing the Golden Dome of the State House! Concierge building located in Beacon Hill by the Boston  Common and convenient to shopping, transportation, restaurants and banking.  Easy walk to the Financial district and the Theater District.  The unit has contemporary furnishings, flat screen tv, DVD player, high speed internet, sleeper couch in livingroom, parquet wood floors, galley kitchen with fridge, electric cooktop, convection microwave and a queen sized bed.  The rent includes all utilities, linens, kitchen and house wares.<br /><br /><b>Guest access</b><br />The owners keep a few personal belongings in the closet on top shelf. Please do not disturb. Othewise, help yourself to any of th
69369;Entire rental unit;Michelle;3;2;"Bright second floor quirky  2 bed, bohemian apartment in 110-year-old house. Only 3 very walkable miles from the city center and about a mile and a half from Longwood Medical area.  Please send me a query if interested in subletting for a few months.<br /><br /><b>The space</b><br />Private, simple  two-bedroom sublet in an unpretentious bright funky apartment in a 110 year old house in the geographical heart of Boston which is 3 miles from the city center. <br /><br />The furnished apartment is on the second floor apartment of a two-apartment house. It has two bedrooms, a kitchen, and a living room.  There is laundry in the basement.<br /><br />Hospitals and schools in Longwood Medical Area are about anout 1/5 miles away - a pleasant walk. Convenient to the Pierre Lallement/Southwest Corridor bike path; the house is a 10 minute walk to the Orange Line on the subway. The city center, airport, and major hospitals are all easily accessible by public transport and/or foot or bicycle.  The"
